FinalGrade,PSS_Stress,TotalQuestions,avg_durationperquestion,avg_tbd,decision_time_efficiency,good_decision_time_efficiency,maxduration,median_tbd,minduration,num_decisions_made,question_enter_count,ratio_decisions,ratio_good_decisions,totalduration,variance_tbd
0.780952381,21,105,58066.66667,14146.17169,51235.29412,70080.45977,330000,5000,7000,119,298,0.27869,0.73109,6097000,743929746.9
0.733333333,27,105,84676.19048,17746.50699,62174.82517,103383.7209,316000,10000,13000,143,327,0.28657,0.6014,8891000,655369612.8
0.647619048,25,105,54123.80952,20516.24549,46203.25203,75773.33333,403000,7000,2000,123,149,0.44565,0.60976,5683000,1428569482
0.723809524,30,105,73152.38095,15611.78862,60480.31496,90364.70588,490000,6000,9000,127,336,0.26132,0.66929,7681000,873741042
0.828571429,19,105,86352.38095,20560.0907,62531.03448,85537.73585,749000,6000,7000,145,281,0.33721,0.73103,9067000,1205215131
0.619047619,30,105,80466.66667,19926.88679,61224.63768,112653.3333,899000,8000,11000,138,279,0.32701,0.54348,8449000,1807959181
0.514285714,25,105,96733.33333,7991.3454,61186.74699,125395.0617,384000,2000,14000,166,1076,0.13091,0.48795,10157000,335986539.2
0.771428571,23,105,68790.47619,21561.19403,66266.05505,89172.83951,436000,6000,11000,109,226,0.32733,0.74312,7223000,1854121244
0.490740741,26,108,102907.4074,192.41024,687.5348,1136.86579,186000,NaN,68000,16165,34302,0.29843,0.60476,11114000,291919.3339
0.559633028,32,109,96706.42202,1246.42308,3827.5236,6065.01726,196000,1000,48000,2754,4603,0.3277,0.63108,10541000,5434301.596
0.415841584,39,101,100603.9604,154.32633,547.67423,1069.80417,148000,NaN,69000,18553,42626,0.28345,0.51194,10161000,146003.7993
0.37,18,100,103790,164.37553,599.21483,1187.66449,144000,NaN,73000,17321,31838,0.32327,0.50453,10379000,201500.5516
0.43877551,30,98,102377.551,209.5447,693.89308,1130.09687,138000,NaN,80000,14459,30123,0.30202,0.61401,10033000,171487.2507
0.743119266,20,109,67688.07339,14875,42895.34884,71631.06796,336000,9000,9000,172,257,0.35102,0.59884,7378000,456521717.2
0.678899083,24,109,78853.21101,23104.83871,69314.51613,107437.5,469000,8000,5000,124,234,0.33423,0.64516,8595000,1777824559
0.532110092,36,109,87137.61468,20966.88742,67842.85714,141761.194,277000,7000,10000,140,286,0.30905,0.47857,9498000,977098458.7
0.651376147,21,109,66844.0367,20581.9209,47620.91503,83747.12644,278000,13000,7000,153,185,0.4322,0.56863,7286000,486345961.2
0.623853211,25,109,83238.53211,21002.31481,65273.38129,116320.5128,340000,10500,9000,139,183,0.32629,0.56115,9073000,760178648.9
0.651376147,32,109,62293.57798,15717.59259,49562.0438,87051.28205,389000,7000,7000,137,198,0.31787,0.56934,6790000,552189202.5
0.825688073,15,109,75596.33028,16816.32653,53856.20915,81584.15842,386000,10000,12000,153,247,0.31677,0.66013,8240000,515589916.9
0.798165138,13,109,48440.36697,8873.94958,40305.34351,56774.19355,226000,3000,5000,131,397,0.22054,0.70992,5280000,228144017.2
0.697247706,23,109,65394.49541,16890.99526,57024,88000,448000,9000,18000,125,263,0.30193,0.648,7128000,453969087.4
0.596330275,15,109,47486.23853,11657.65766,37781.0219,71888.88889,224000,5000,8000,137,261,0.31066,0.52555,5176000,215363349.8
0.697247706,37,109,77073.3945,26253.125,62694.02985,100011.9048,308000,13500,10000,134,185,0.41875,0.62687,8401000,906941996.5
